,home_victory,home_runs,away_runs,last_week_home_win_rate_ratio,last_year_home_st_ERA,last_3_week_home_st_ERA,last_week_home_re_ERA,last_week_home_runs_ave,last_year_away_st_ERA,last_3_week_away_st_ERA,last_week_away_re_ERA,last_week_away_runs_ave,last_week_home_team_OPS,last_week_away_team_OPS,last_week_home_OPS_ratio,last_year_home_win_rate,last_year_away_win_rate,last_year_home_st_ERA_ratio,last_3_week_home_st_ERA_ratio,last_year_home_st_APP,last_year_home_st_IP,last_year_away_st_APP,last_year_away_st_IP,home_st_pitching_interval,away_st_pitching_interval,this_year_home_st_IP_div_match,this_year_away_st_IP_div_match
1107,0,0,1,0.5,4.05,2.0454545454545454,2.7551020408163267,3.5,2.01,1.8,2.189189189189189,3.0,0.6346306199247376,0.5638922888616891,0.5295106295192451,0.457,0.507,0.6683167761330772,0.5319148770182673,8.0,20.0,26.0,183.0,7.0,7.0,1.1916666666666669,1.146341463414634
1108,1,3,2,0.33333366666599995,2.71,1.2857142857142856,4.595744680851063,5.166666666666667,4.0,2.6129032258064515,1.125,4.166666666666667,0.7286856490168883,0.7279372674109517,0.5002568892736399,0.631,0.451,0.40387484236219306,0.3297873213620597,25.0,152.33333333333334,0.0,0.0,7.0,7.0,1.0075757575757576,1.126984126984127
1109,1,2,0,0.5813952352624624,3.87,6.0,2.6999999999999997,5.166666666666667,3.45,4.395348837209302,3.724137931034482,5.6,0.8472535282769824,0.7725894481503941,0.5230467030487309,0.457,0.621,0.5286885167517714,0.5771811932045132,22.0,107.0,30.0,91.0,7.0,6.0,0.9583333333333333,0.9512195121951219
1110,0,6,10,0.2173920415859785,3.83,1.956521739130435,5.142857142857142,2.3333333333333335,3.88,5.510204081632653,2.2499999999999996,5.6,0.664728263219335,0.7509225976515697,0.4695566411130467,0.40700000000000003,0.44299999999999995,0.4967574586880782,0.26203214930238095,24.0,162.0,13.0,72.0,7.0,7.0,1.2926829268292683,0.9099099099099098
1111,1,6,1,0.5999997600005761,3.0,2.1774193548387095,2.4230769230769234,4.666666666666667,2.16,2.16,3.375,2.3333333333333335,0.7521037789058094,0.5551368676368675,0.5753368982940784,0.606,0.514,0.5813953172886367,0.5020080312026034,23.0,135.0,23.0,162.0,6.0,21.0,1.0542635658914727,0.38095238095238093
1112,0,2,4,0.4285715510201983,4.0,2.0,3.75,4.166666666666667,4.0,3.4838709677419355,4.909090909090909,3.5,0.651924651924652,0.7049835883685451,0.48044859082275587,0.493,0.414,0.5,0.3647059316954837,0.0,0.0,0.0,0.0,7.0,8.0,0.992248062015504,0.3030303030303031
1113,0,1,3,0.400000239999424,3.67,0.7714285714285714,2.454545454545455,2.1666666666666665,4.19,4.19,2.025,2.3333333333333335,0.5756425948592412,0.5592202089415399,0.5072354058405566,0.457,0.507,0.46692112800989105,0.15548531019883835,26.0,147.0,27.0,109.66666666666667,7.0,21.0,1.024390243902439,0.30952380952380953
1114,1,6,1,0.33333366666599995,3.32,6.882352941176471,3.6610169491525424,4.0,4.47,5.5227272727272725,1.0588235294117647,4.333333333333333,0.7111487546270154,0.7335520672499571,0.49224638337443627,0.631,0.451,0.42618743871952797,0.5548011550832495,17.0,21.333333333333332,20.0,116.66666666666667,7.0,6.0,0.8592592592592594,1.1317829457364341
1115,1,10,4,0.6666663333339999,5.59,4.153846153846154,1.7419354838709682,5.333333333333333,4.01,1.7999999999999998,5.0,2.1666666666666665,0.7957035039155842,0.5257965282355527,0.6021214412082447,0.606,0.514,0.5822916495225731,0.697674352202414,7.0,37.0,7.0,24.333333333333332,6.0,8.0,0.40151515151515155,0.27906976744186046
1116,1,13,5,0.2857146530605947,4.97,4.97,3.0,3.6666666666666665,4.24,0.6428571428571428,4.0754716981132075,4.0,0.657152274225445,0.7401857816365589,0.47028868316339834,0.493,0.414,0.5396308274417312,0.8854669026078738,18.0,29.0,22.0,121.0,21.0,7.0,0.0,0.674074074074074
1117,1,6,1,0.20000071999827201,3.01,3.0,4.0754716981132075,2.0,3.55,8.437499999999998,0.6428571428571428,2.8333333333333335,0.5783218785796105,0.5843296022862586,0.4974163694772168,0.457,0.507,0.45884147596296465,0.2622951235330932,28.0,185.0,17.0,91.0,7.0,8.0,1.2142857142857142,0.9224806201550388
1118,1,8,5,0.5161290114464369,6.31,4.0754716981132075,2.131578947368421,4.4,6.0,6.0,1.8620689655172415,4.5,0.7889126559714794,0.7877758913412564,0.5003604911801257,0.457,0.621,0.5125913870688242,0.40449440098051215,21.0,71.0,2.0,12.0,7.0,21.0,0.5934959349593496,0.0
1119,0,1,4,1.999992000032e-06,4.36,2.1599999999999997,6.517241379310344,2.8,2.91,2.8125,5.192307692307692,4.25,0.6729651162790697,0.7107936026680816,0.4863312563559512,0.40700000000000003,0.44299999999999995,0.5997248694016866,0.4343891666609686,27.0,171.0,28.0,195.0,7.0,8.0,0.9603174603174603,0.8859649122807017
1120,0,7,12,0.6666663333339999,3.01,5.711538461538462,1.1571428571428573,6.0,4.0,7.468085106382978,6.75,2.1666666666666665,0.884684065934066,0.5788617886178862,0.6044799096540108,0.606,0.514,0.42938661073135215,0.43336128421129566,17.0,89.66666666666667,0.0,0.0,5.0,7.0,1.1037037037037036,0.696969696969697
1121,0,2,7,0.6249997656254395,2.45,4.05,0.5294117647058824,3.0,3.02,5.60377358490566,3.7799999999999994,3.4,0.5542271969516552,0.6799731408427061,0.44905772586492265,0.507,0.631,0.4478976424505878,0.41952508263528043,14.0,91.66666666666667,18.0,89.0,7.0,7.0,1.1590909090909092,1.1231884057971016
1122,1,3,2,0.6249997656254395,3.36,4.5,5.120689655172414,4.5,5.91,1.5,2.5714285714285716,3.8,0.7946648269518224,0.6796834457706279,0.5389939688296566,0.414,0.451,0.3624595765998756,0.7499999166666944,15.0,72.0,13.0,67.0,7.0,7.0,0.21739130434782608,0.22727272727272727
1123,0,2,5,0.400000239999424,3.25,4.5,4.0754716981132075,2.8333333333333335,3.5,2.625,1.894736842105263,5.5,0.6083240521040143,0.7400956073941856,0.4511385219126779,0.457,0.493,0.4814814869684483,0.6315789104339901,26.0,169.0,23.0,151.33333333333334,6.0,7.0,0.7906976744186046,0.9925925925925926
1124,1,7,5,0.5454544628100676,4.0,0.5294117647058824,4.973684210526316,4.6,3.84,0.6923076923076923,2.918918918918919,6.0,0.7513657561625583,0.8644641713187518,0.46500299529280076,0.621,0.606,0.5102040790295717,0.4333334424689571,0.0,0.0,13.0,82.0,7.0,7.0,0.4418604651162791,0.9057971014492755
1125,0,1,5,0.4285715306120991,4.0,4.0,4.655172413793103,4.2,2.58,1.2857142857142856,1.2,5.0,0.7191680499951176,0.8329565524549629,0.4633442758782941,0.44299999999999995,0.457,0.6079027027651359,0.7567566596055882,0.0,0.0,22.0,143.0,21.0,7.0,0.10256410256410256,1.126984126984127
1126,1,5,4,0.9999980000080001,3.01,5.3999999999999995,8.590909090909092,4.0,3.67,6.75,4.189655172413794,2.6,0.6788579958947565,0.648195672147768,0.5115527821087361,0.514,0.40700000000000003,0.4505988171859829,0.4444444535893904,26.0,188.33333333333334,17.0,61.333333333333336,7.0,6.0,1.2740740740740741,0.09302325581395349
1127,0,0,9,0.45454553718993235,2.95,1.2857142857142856,0.5510204081632654,2.5,4.5,3.5,3.2142857142857144,4.2,0.5580171358629131,0.7324532085561497,0.4324137615995495,0.507,0.631,0.3959731822890786,0.2686568130986452,34.0,39.666666666666664,27.0,80.0,9.0,7.0,0.4,0.9290780141843973
1128,1,4,2,0.7692301479304279,2.8,2.076923076923077,5.192307692307692,4.166666666666667,4.5,3.4285714285714284,4.378378378378379,3.4,0.7509850275807723,0.6915470494417862,0.5206019606377379,0.414,0.451,0.38356167573652716,0.37724555357546763,62.0,54.666666666666664,25.0,158.0,7.0,7.0,0.9219858156028368,1.074074074074074
1129,1,9,2,0.33333366666599995,3.29,3.29,4.418181818181818,2.8333333333333335,4.0,7.199999999999999,1.0,5.833333333333333,0.5844697816528802,0.7644571852829567,0.43328497092806745,0.457,0.493,0.45130316836675766,0.3136320660377377,13.0,68.0,0.0,0.0,21.0,7.0,0.3181818181818182,0.5942028985507247
1130,0,8,13,0.6428568367353499,2.94,4.7368421052631575,3.681818181818182,4.6,9.0,9.0,2.9634146341463414,6.5,0.7482604041215042,0.8512242282039584,0.46781343752807525,0.621,0.606,0.24623119828623147,0.34482760879904545,22.0,156.0,1.0,1.0,7.0,21.0,1.128787878787879,0.0
1131,1,6,1,0.37500015624980465,4.3,1.227272727272727,8.678571428571427,3.8,3.29,2.6999999999999997,1.2,5.8,0.7005477143459027,0.839825479930192,0.4547909019379737,0.44299999999999995,0.457,0.5665348968287491,0.31250009548606245,26.0,155.0,15.0,27.333333333333332,7.0,7.0,1.1083333333333334,0.17054263565891475
1132,1,2,1,0.9999980000080001,5.34,3.0,7.875,4.166666666666667,3.26,5.25,3.3157894736842106,3.0,0.7081961748406184,0.6300661834226284,0.5291908350166048,0.514,0.40700000000000003,0.6209302044348362,0.3636363966942069,22.0,116.0,28.0,132.33333333333334,7.0,10.0,0.6739130434782609,0.9242424242424243
1133,0,2,3,0.3846155621299044,2.72,1.2,1.4210526315789473,1.8333333333333333,4.0,3.0,3.2142857142857144,5.8,0.5319801401869159,0.8461904761904762,0.38600455840892833,0.507,0.631,0.4047619331065675,0.28571438775505337,26.0,162.0,0.0,0.0,7.0,10.0,0.9420289855072465,0.15277777777777776
1134,0,1,7,0.9999985000045001,3.51,3.6610169491525424,5.192307692307692,4.5,4.0,4.235294117647059,4.973684210526316,2.2,0.768959020254357,0.6281661276377726,0.5503866431826102,0.414,0.451,0.4673768395800693,0.463636372846646,20.0,125.66666666666667,0.0,0.0,5.0,7.0,1.2569444444444442,0.5072463768115941
1135,0,2,6,0.5,4.0,9.0,2.7551020408163263,3.8333333333333335,2.93,4.5,1.5,5.166666666666667,0.6201632855022267,0.7231234866828087,0.46167601612978604,0.457,0.493,0.5772005549204748,0.6666666419753122,0.0,0.0,22.0,135.0,7.0,7.0,0.14074074074074072,1.1347517730496453
1136,0,1,6,0.4444445679009602,3.88,3.5217391304347827,5.5,4.8,2.61,1.0384615384615385,3.759493670886076,7.833333333333333,0.7509386357492567,0.9401333088729897,0.4440607261786264,0.621,0.606,0.5978428049791047,0.7722771083082428,23.0,132.0,25.0,169.0,7.0,12.0,1.0,0.7499999999999999
1137,1,13,2,0.4285715306120991,2.49,2.4923076923076923,8.678571428571427,4.6,11.74,11.74,1.1489361702127658,4.6,0.7526530612244897,0.7500349113252338,0.500871155538303,0.44299999999999995,0.457,0.17498247716339044,0.17511624930806138,19.0,130.0,2.0,7.666666666666667,7.0,21.0,0.8699186991869919,0.0
1138,0,1,2,0.9999985000045001,5.52,5.52,9.818181818181817,4.5,4.0,4.909090909090909,2.7551020408163267,2.6,0.7618785796105384,0.5683104835959347,0.5727596179252895,0.514,0.40700000000000003,0.5798319160016983,0.5292886973121396,16.0,88.0,0.0,0.0,21.0,7.0,0.0,0.7703703703703705
1139,0,0,3,0.23076985206957218,3.45,5.651162790697675,5.303571428571428,4.2,4.0,9.947368421052632,1.4210526315789473,6.166666666666667,0.6961220017046146,0.8049371497804028,0.4637538773977908,0.621,0.493,0.46308725823160857,0.3622881532502478,30.0,91.0,0.0,0.0,7.0,7.0,1.0579710144927537,0.8958333333333334
1140,1,13,5,0.7058819896200184,3.88,4.959183673469387,7.363636363636363,6.8,2.01,1.956521739130435,1.6363636363636362,1.5,0.8777587255932298,0.49690737014680675,0.6385250413269979,0.44299999999999995,0.507,0.6587435793739969,0.7170900065023256,13.0,72.0,26.0,183.0,7.0,7.0,0.8968253968253967,1.148936170212766
1141,0,0,5,0.37500015624980465,3.87,0.75,2.5,3.6,2.61,2.61,1.0588235294117647,5.6,0.6067782918410809,0.8305882352941176,0.42214583433388064,0.457,0.631,0.5972221922153728,0.22321445046758903,22.0,107.0,16.0,31.0,7.0,21.0,0.985185185185185,0.0
1142,0,7,15,0.5999997600005761,2.16,2.571428571428571,9.529411764705882,4.166666666666667,4.05,1.565217391304348,2.547169811320755,3.3333333333333335,0.7421341395140522,0.5849761051373954,0.5592106175843488,0.514,0.457,0.34782613596581774,0.6216215628196048,23.0,162.0,8.0,20.0,7.0,7.0,0.5208333333333334,1.0797101449275364
1143,1,9,1,0.5,3.83,5.491525423728814,1.5576923076923075,2.8,4.0,3.8571428571428563,4.5,2.8,0.5877914027759061,0.6293989411398317,0.48290836820555405,0.40700000000000003,0.451,0.4891443195033667,0.5874125687120483,24.0,162.0,0.0,0.0,7.0,7.0,1.2536231884057971,1.1134751773049645
1144,1,10,2,0.5714284489798018,3.0,1.7999999999999998,3.2727272727272725,7.833333333333333,3.08,1.3846153846153846,3.5409836065573765,3.5,0.9666680077244931,0.7019660514554338,0.5793169583267258,0.606,0.414,0.49342105479570564,0.5652173503465916,23.0,135.0,21.0,131.0,7.0,9.0,1.0680272108843536,0.8843537414965985
1145,1,6,1,0.23076985206957218,4.56,4.56,4.790322580645161,4.2,4.97,9.0,1.5882352941176472,5.166666666666667,0.6762838468720822,0.7366037303164654,0.47865368610416564,0.621,0.493,0.4784889866759734,0.33628320998772715,11.0,23.333333333333332,18.0,29.0,21.0,6.0,0.10638297872340426,0.10204081632653061
1146,1,6,0,0.8275855291333881,3.89,3.89,3.0,7.4,4.19,0.0,3.5217391304347827,2.1666666666666665,0.8770432154052844,0.5505050505050505,0.6143702712888672,0.44299999999999995,0.507,0.481435648159493,0.9999997429307235,24.0,148.0,27.0,109.66666666666667,21.0,7.0,0.0,0.3611111111111111
